Ref,Val,Package,PosX,PosY,Rot,Side
"D35","D","D_SOD-123_DO-35_Hybrid_DoubleSided_V2",199.138064,110.861376,0.000000,bottom
"D36","D","D_SOD-123_DO-35_Hybrid_DoubleSided_V2",180.088064,108.361376,0.000000,bottom
"D37","D","D_SOD-123_DO-35_Hybrid_DoubleSided_V2",275.338064,79.811376,0.000000,bottom
"D38","D","D_SOD-123_DO-35_Hybrid_DoubleSided_V2",256.288064,79.811376,0.000000,bottom
"D39","D","D_SOD-123_DO-35_Hybrid_DoubleSided_V2",237.238064,91.811376,0.000000,bottom
"D40","D","D_SOD-123_DO-35_Hybrid_DoubleSided_V2",218.188064,97.311376,0.000000,bottom
"D41","D","D_SOD-123_DO-35_Hybrid_DoubleSided_V2",199.138064,91.811376,0.000000,bottom
"D42","D","D_SOD-123_DO-35_Hybrid_DoubleSided_V2",180.088064,89.311376,0.000000,bottom
"D43","D","D_SOD-123_DO-35_Hybrid_DoubleSided_V2",275.338064,60.761376,0.000000,bottom
"D44","D","D_SOD-123_DO-35_Hybrid_DoubleSided_V2",256.288064,60.761376,0.000000,bottom
"D45","D","D_SOD-123_DO-35_Hybrid_DoubleSided_V2",237.238064,72.761376,0.000000,bottom
"D46","D","D_SOD-123_DO-35_Hybrid_DoubleSided_V2",218.188064,78.261376,0.000000,bottom
"D47","D","D_SOD-123_DO-35_Hybrid_DoubleSided_V2",199.138064,72.761376,0.000000,bottom
"D48","D","D_SOD-123_DO-35_Hybrid_DoubleSided_V2",180.088064,70.261376,0.000000,bottom
"D49","D","D_SOD-123_DO-35_Hybrid_DoubleSided_V2",275.338064,41.711376,0.000000,bottom
"D50","D","D_SOD-123_DO-35_Hybrid_DoubleSided_V2",256.288064,41.711376,0.000000,bottom
"D51","D","D_SOD-123_DO-35_Hybrid_DoubleSided_V2",237.238064,53.711376,0.000000,bottom
"D52","D","D_SOD-123_DO-35_Hybrid_DoubleSided_V2",218.188064,59.211376,0.000000,bottom
"D53","D","D_SOD-123_DO-35_Hybrid_DoubleSided_V2",199.138064,53.711376,0.000000,bottom
"D54","D","D_SOD-123_DO-35_Hybrid_DoubleSided_V2",180.088064,51.211376,0.000000,bottom
"D55","D","D_SOD-123_DO-35_Hybrid_DoubleSided_V2",237.238064,34.661376,0.000000,bottom
"D56","D","D_SOD-123_DO-35_Hybrid_DoubleSided_V2",218.188064,40.161376,0.000000,bottom
"D57","D","D_SOD-123_DO-35_Hybrid_DoubleSided_V2",199.138064,34.661376,0.000000,bottom
"D58","D","D_SOD-123_DO-35_Hybrid_DoubleSided_V2",163.365412,30.532639,-68.000000,bottom
"D59","D","D_SOD-123_DO-35_Hybrid_DoubleSided_V2",183.215412,32.668939,-68.000000,bottom
"D60","D","D_SOD-123_DO-35_Hybrid_DoubleSided_V2",170.957375,51.300000,0.000000,bottom
"D61","D","D_SOD-123_DO-35_Hybrid_DoubleSided_V2",119.165000,109.110000,0.000000,bottom
"D62","D","D_SOD-123_DO-35_Hybrid_DoubleSided_V2",151.085000,108.560000,0.000000,bottom
"FID1","Fiducial","Fiducial_1mm_Mask2mm",5.022764,108.171376,180.000000,bottom
"FID2","Fiducial","Fiducial_1mm_Mask2mm",5.035000,34.420000,180.000000,bottom
"FID3","Fiducial","Fiducial_1mm_Mask2mm",291.585564,108.171376,180.000000,bottom
"FID4","Fiducial","Fiducial_1mm_Mask2mm",291.572200,34.420000,180.000000,bottom
"SK68XX_Mini9","SK68XXMini","SK68XXMini_Offset",108.582764,109.361376,0.000000,bottom
"SK68XX_Mini10","SK68XXMini","SK68XXMini_Offset",89.532764,111.861376,0.000000,bottom
"SK68XX_Mini11","SK68XXMini","SK68XXMini_Offset",70.482764,117.361376,0.000000,bottom
"SK68XX_Mini12","SK68XXMini","SK68XXMini_Offset",51.432764,111.861376,0.000000,bottom
"SK68XX_Mini13","SK68XXMini","SK68XXMini_Offset",32.382764,99.861376,0.000000,bottom
"SK68XX_Mini14","SK68XXMini","SK68XXMini_Offset",13.332764,99.861376,0.000000,bottom
"SK68XX_Mini15","SK68XXMini","SK68XXMini_Offset",13.332764,80.811376,0.000000,bottom
"SK68XX_Mini16","SK68XXMini","SK68XXMini_Offset",32.382764,80.811376,0.000000,bottom
"SK68XX_Mini17","SK68XXMini","SK68XXMini_Offset",51.432764,92.811376,0.000000,bottom
"SK68XX_Mini18","SK68XXMini","SK68XXMini_Offset",70.482764,98.311376,0.000000,bottom
"SK68XX_Mini19","SK68XXMini","SK68XXMini_Offset",89.532764,92.811376,0.000000,bottom
"SK68XX_Mini20","SK68XXMini","SK68XXMini_Offset",108.582764,90.311376,0.000000,bottom
"SK68XX_Mini21","SK68XXMini","SK68XXMini_Offset",108.582764,71.261376,0.000000,bottom
"SK68XX_Mini22","SK68XXMini","SK68XXMini_Offset",89.532764,73.761376,0.000000,bottom
"SK68XX_Mini23","SK68XXMini","SK68XXMini_Offset",70.482764,79.261376,0.000000,bottom
"SK68XX_Mini24","SK68XXMini","SK68XXMini_Offset",51.432764,73.761376,0.000000,bottom
"SK68XX_Mini25","SK68XXMini","SK68XXMini_Offset",32.382764,61.761376,0.000000,bottom
"SK68XX_Mini26","SK68XXMini","SK68XXMini_Offset",13.332764,61.761376,0.000000,bottom
"SK68XX_Mini27","SK68XXMini_Short_Offset_for_Rotary_Encoder","SK68XXMini_Short_Offset_for_Rotary_Encoder",13.335000,42.720000,0.000000,bottom
"SK68XX_Mini28","SK68XXMini","SK68XXMini_Offset",32.382764,42.711376,0.000000,bottom
"SK68XX_Mini29","SK68XXMini","SK68XXMini_Offset",51.432764,54.711376,0.000000,bottom
"SK68XX_Mini30","SK68XXMini","SK68XXMini_Offset",70.482764,60.211376,0.000000,bottom
"SK68XX_Mini31","SK68XXMini","SK68XXMini_Offset",89.532764,54.711376,0.000000,bottom
"SK68XX_Mini32","SK68XXMini","SK68XXMini_Offset",108.582764,52.211376,0.000000,bottom
"SK68XX_Mini33","SK68XXMini","SK68XXMini_Offset",129.432764,23.647976,68.000000,bottom
"SK68XX_Mini34","SK68XXMini","SK68XXMini_Offset",109.582764,25.771676,68.000000,bottom
"SK68XX_Mini35","SK68XXMini","SK68XXMini_Offset",89.532764,35.661376,0.000000,bottom
"SK68XX_Mini36","SK68XXMini","SK68XXMini_Offset",70.482764,41.161376,0.000000,bottom
"SK68XX_Mini37","SK68XXMini","SK68XXMini_Offset",51.432764,35.661376,0.000000,bottom
"SK68XX_Mini46","SK68XXMini","SK68XXMini_Offset",188.025564,109.361376,0.000000,bottom
"SK68XX_Mini47","SK68XXMini","SK68XXMini_Offset",207.075564,111.861376,0.000000,bottom
"SK68XX_Mini48","SK68XXMini","SK68XXMini_Offset",226.125564,117.361376,0.000000,bottom
"SK68XX_Mini49","SK68XXMini","SK68XXMini_Offset",245.175564,111.861376,0.000000,bottom
"SK68XX_Mini50","SK68XXMini","SK68XXMini_Offset",264.225564,99.861376,0.000000,bottom
"SK68XX_Mini51","SK68XXMini","SK68XXMini_Offset",283.275564,99.861376,0.000000,bottom
"SK68XX_Mini52","SK68XXMini","SK68XXMini_Offset",283.275564,80.811376,0.000000,bottom
"SK68XX_Mini53","SK68XXMini","SK68XXMini_Offset",264.225564,80.811376,0.000000,bottom
"SK68XX_Mini54","SK68XXMini","SK68XXMini_Offset",245.175564,92.811376,0.000000,bottom
"SK68XX_Mini55","SK68XXMini","SK68XXMini_Offset",226.125564,98.311376,0.000000,bottom
"SK68XX_Mini56","SK68XXMini","SK68XXMini_Offset",207.075564,92.811376,0.000000,bottom
"SK68XX_Mini57","SK68XXMini","SK68XXMini_Offset",188.025564,90.311376,0.000000,bottom
"SK68XX_Mini58","SK68XXMini","SK68XXMini_Offset",188.025564,71.261376,0.000000,bottom
"SK68XX_Mini59","SK68XXMini","SK68XXMini_Offset",207.075564,73.761376,0.000000,bottom
"SK68XX_Mini60","SK68XXMini","SK68XXMini_Offset",226.125564,79.261376,0.000000,bottom
"SK68XX_Mini61","SK68XXMini","SK68XXMini_Offset",245.175564,73.761376,0.000000,bottom
"SK68XX_Mini62","SK68XXMini","SK68XXMini_Offset",264.225564,61.761376,0.000000,bottom
"SK68XX_Mini63","SK68XXMini","SK68XXMini_Offset",283.275564,61.761376,0.000000,bottom
"SK68XX_Mini64","SK68XXMini","SK68XXMini_Short_Offset_for_Rotary_Encoder",283.272200,42.720000,0.000000,bottom
"SK68XX_Mini65","SK68XXMini","SK68XXMini_Offset",264.225564,42.711376,0.000000,bottom
"SK68XX_Mini66","SK68XXMini","SK68XXMini_Offset",245.175564,54.711376,0.000000,bottom
"SK68XX_Mini67","SK68XXMini","SK68XXMini_Offset",226.125564,60.211376,0.000000,bottom
"SK68XX_Mini68","SK68XXMini","SK68XXMini_Offset",207.075564,54.711376,0.000000,bottom
"SK68XX_Mini69","SK68XXMini","SK68XXMini_Offset",188.025564,52.211376,0.000000,bottom
"SK68XX_Mini70","SK68XXMini","SK68XXMini_Offset",167.266036,23.547724,-68.000000,bottom
"SK68XX_Mini71","SK68XXMini","SK68XXMini_Offset",187.116036,25.684024,-68.000000,bottom
"SK68XX_Mini72","SK68XXMini","SK68XXMini_Offset",207.075564,35.661376,0.000000,bottom
"SK68XX_Mini73","SK68XXMini","SK68XXMini_Offset",226.125564,41.161376,0.000000,bottom
"SK68XX_Mini74","SK68XXMini","SK68XXMini_Offset",245.175564,35.661376,0.000000,bottom
"SW1","SW_Push","SW_MX_HS_1u",13.332764,99.861376,0.000000,bottom
"SW2","SW_Push","SW_MX_HS_1u",32.382764,99.861376,0.000000,bottom
"SW3","SW_Push","SW_MX_HS_1u",51.432764,111.861376,0.000000,bottom
"SW4","SW_Push","SW_MX_HS_1u",70.482764,117.361376,0.000000,bottom
"SW5","SW_Push","SW_MX_HS_1u",89.532764,111.861376,0.000000,bottom
"SW6","SW_Push","SW_MX_HS_1u",108.582764,109.361376,0.000000,bottom
"SW7","SW_Push","SW_MX_HS_1u",13.332764,80.811376,0.000000,bottom
"SW8","SW_Push","SW_MX_HS_1u",32.382764,80.811376,0.000000,bottom
"SW9","SW_Push","SW_MX_HS_1u",51.432764,92.811376,0.000000,bottom
"SW10","SW_Push","SW_MX_HS_1u",70.482764,98.311376,0.000000,bottom
"SW11","SW_Push","SW_MX_HS_1u",89.532764,92.811376,0.000000,bottom
"SW12","SW_Push","SW_MX_HS_1u",108.582764,90.311376,0.000000,bottom
"SW13","SW_Push","SW_MX_HS_1u",13.332764,61.761376,0.000000,bottom
"SW14","SW_Push","SW_MX_HS_1u",32.382764,61.761376,0.000000,bottom
"SW15","SW_Push","SW_MX_HS_1u",51.432764,73.761376,0.000000,bottom
"SW16","SW_Push","SW_MX_HS_1u",70.482764,79.261376,0.000000,bottom
"SW17","SW_Push","SW_MX_HS_1u",89.532764,73.761376,0.000000,bottom
"SW18","SW_Push","SW_MX_HS_1u",108.582764,71.261376,0.000000,bottom
"SW19","SW_MX_Hotswap_Rotary_Switch_Rotated","SW_MX_Hotswap_Rotary_Switch_Rotated",13.335000,42.720000,180.000000,bottom
"SW20","SW_Push","SW_MX_HS_1u",32.382764,42.711376,0.000000,bottom
"SW21","SW_Push","SW_MX_HS_1u",51.432764,54.711376,0.000000,bottom
"SW22","SW_Push","SW_MX_HS_1u",70.482764,60.211376,0.000000,bottom
"SW23","SW_Push","SW_MX_HS_1u",89.532764,54.711376,0.000000,bottom
"SW24","SW_Push","SW_MX_HS_1u",108.582764,52.211376,0.000000,bottom
"SW25","SW_Push","SW_MX_HS_1u",51.432764,35.661376,0.000000,bottom
"SW26","SW_Push","SW_MX_HS_1u",70.482764,41.161376,0.000000,bottom
"SW27","SW_Push","SW_MX_HS_1u",89.532764,35.661376,0.000000,bottom
"SW28","SW_Push","SW_MX_HS_1.5u",109.582764,25.771676,68.000000,bottom
"SW29","SW_Push","SW_MX_HS_1.5u",129.432764,23.647976,68.000000,bottom
"SW31","SW_Push","SW_MX_HS_1u",283.275564,99.861376,0.000000,bottom
"SW32","SW_Push","SW_MX_HS_1u",264.225564,99.861376,0.000000,bottom
"SW33","SW_Push","SW_MX_HS_1u",245.175564,111.861376,0.000000,bottom
"SW34","SW_Push","SW_MX_HS_1u",226.125564,117.361376,0.000000,bottom
"SW35","SW_Push","SW_MX_HS_1u",207.075564,111.861376,0.000000,bottom
"SW36","SW_Push","SW_MX_HS_1u",188.025564,109.361376,0.000000,bottom
"SW37","SW_Push","SW_MX_HS_1u",283.275564,80.811376,0.000000,bottom
"SW38","SW_Push","SW_MX_HS_1u",264.225564,80.811376,0.000000,bottom
"SW39","SW_Push","SW_MX_HS_1u",245.175564,92.811376,0.000000,bottom
"SW40","SW_Push","SW_MX_HS_1u",226.125564,98.311376,0.000000,bottom
"SW41","SW_Push","SW_MX_HS_1u",207.075564,92.811376,0.000000,bottom
"SW42","SW_Push","SW_MX_HS_1u",188.025564,90.311376,0.000000,bottom
"SW43","SW_Push","SW_MX_HS_1u",283.275564,61.761376,0.000000,bottom
"SW44","SW_Push","SW_MX_HS_1u",264.225564,61.761376,0.000000,bottom
"SW45","SW_Push","SW_MX_HS_1u",245.175564,73.761376,0.000000,bottom
"SW46","SW_Push","SW_MX_HS_1u",226.125564,79.261376,0.000000,bottom
"SW47","SW_Push","SW_MX_HS_1u",207.075564,73.761376,0.000000,bottom
"SW48","SW_Push","SW_MX_HS_1u",188.025564,71.261376,0.000000,bottom
"SW49","SW_MX_Hotswap_Rotary_Switch_Rotated","SW_MX_Hotswap_Rotary_Switch_Rotated",283.272200,42.720000,180.000000,bottom
"SW50","SW_Push","SW_MX_HS_1u",264.225564,42.711376,0.000000,bottom
"SW51","SW_Push","SW_MX_HS_1u",245.175564,54.711376,0.000000,bottom
"SW52","SW_Push","SW_MX_HS_1u",226.125564,60.211376,0.000000,bottom
"SW53","SW_Push","SW_MX_HS_1u",207.075564,54.711376,0.000000,bottom
"SW54","SW_Push","SW_MX_HS_1u",188.025564,52.211376,0.000000,bottom
"SW55","SW_Push","SW_MX_HS_1u",245.175564,35.661376,0.000000,bottom
"SW56","SW_Push","SW_MX_HS_1u",226.125564,41.161376,0.000000,bottom
"SW57","SW_Push","SW_MX_HS_1u",207.075564,35.661376,0.000000,bottom
"SW58","SW_Push","SW_MX_HS_1.5u",167.266036,23.547724,-68.000000,bottom
"SW59","SW_Push","SW_MX_HS_1.5u",187.116036,25.684024,-68.000000,bottom
"U2","SN74AHCT1G125","SN74AHCT1G125",124.082808,10.396261,180.000000,bottom
"U4","SN74AHCT1G125","SN74AHCT1G125",172.618227,10.300585,0.000000,bottom
